;0;1;2;3
при;1;2;0;1
намерение;1;0;0;1
одновременно;1;0;0;1
поступать;3;1;1;3
в;3;1;1;3
петрг;1;0;0;1
по;2;1;0;2
различный;3;0;0;3
условие;2;0;0;2
поступление;3;0;0;3
подавать;2;0;0;2
один;1;0;0;1
заявление;3;0;0;3
о;1;1;0;1
прием;1;1;0;1
на;6;2;5;6
обучение;2;2;0;2
этот;1;0;1;1
абитуриент;1;1;0;1
указывать;2;0;0;2
какой;1;0;0;1
направление;2;1;2;2
он;1;0;0;1
хотеть;1;0;0;1
попадать;1;0;0;1
поскольку;1;0;0;1
их;1;0;0;1
может;1;0;0;1
быт;1;0;0;1
несколько;1;0;0;1
приоритетность;1;0;0;1
можно;1;2;0;1
бюджетный;1;0;2;1
основа;1;0;1;1
а;1;1;1;1
также;1;1;2;1
дополнительно;1;1;0;1
платный;1;0;1;1
приоритет;1;0;0;1
начинать;1;0;0;1
с;1;2;0;1
вправе;0;1;0;0
представлять;0;1;0;0
сведение;0;1;0;0
свой;0;1;0;0
индивидуальный;0;1;0;0
достижение;0;3;0;0
результат;0;1;0;0
который;0;1;1;0
учитываться;0;1;0;0
если;0;2;0;0
у;0;1;0;0
быть;0;2;3;0
заканчивать;0;2;0;0
средний;0;2;0;0
профессиональный;0;1;0;0
образование;0;4;0;0
отличие;0;1;0;0
или;0;2;0;0
общий;0;1;0;0
золотой;0;1;0;0
серебряный;0;1;0;0
медаль;0;1;0;0
то;0;1;0;0
зачет;0;1;0;0
прибавляться;0;1;0;0
балл;0;1;0;0
себя;0;1;0;0
необходимый;0;1;0;0
документ;0;1;0;0
подтверждать;0;2;0;0
данные;0;1;0;0
подробный;0;2;0;0
информация;0;2;0;0
посмотреть;0;2;0;0
здесь;0;2;0;0
https;0;2;0;0
petrsu;0;2;0;0
ru;0;2;0;0
page;0;2;0;0
education;0;2;0;0
bakalavriat;0;2;0;0
i;0;2;0;0
spec;0;2;0;0
priemnaya;0;2;0;0
utchet;0;2;0;0
individualnyh;0;2;0;0
dostizhenii;0;2;0;0
po;0;2;0;0
очень;0;1;0;0
важный;0;1;0;0
для;0;2;1;0
институт;0;1;1;0
физический;0;3;0;0
культура;0;3;0;0
спорт;0;2;0;0
и;0;3;1;0
туризм;0;1;0;0
являться;0;1;0;0
удостоверение;0;1;0;0
звание;0;2;0;0
мастер;0;1;0;0
именно;0;1;0;0
педагогический;0;2;0;0
безопасность;0;1;0;0
жизнедеятельность;0;1;0;0
спортивный;0;1;0;0
материальный;0;0;1;0
обеспечение;0;0;1;0
гражданин;0;0;1;0
обучающийся;0;0;1;0
определяться;0;0;1;0
правительство;0;0;2;0
рф;0;0;1;0
средство;0;0;2;0
идти;0;0;1;0
стипендия;0;0;1;0
получать;0;0;1;0
студент;0;0;1;0
говорить;0;0;1;0
простой;0;0;1;0
слово;0;0;1;0
платить;0;0;1;0
за;0;0;1;0
бюджетник;0;0;1;0
от;0;0;1;0
вуз;0;0;1;0
зависеть;0;0;1;0
сколько;0;0;1;0
место;0;0;1;0
так;0;0;1;0
например;0;0;1;0
год;0;0;1;0
экономика;0;0;1;0
право;0;0;1;0
весь;0;0;1;0
нельзя;0;0;1;0
бюджет;0;0;1;0
