Название;bbb
Какова цена обучения на ... направлении?;1
Сколько стоит обучение на ... направлении?;2
Сколько выйдет за обучение на ... направлении?;3
Сколько необходимо заплатить за год обучения на ... направлении?;4
Какая плата за обучение на ... направлении за год?;5
Какие экзамены необходимо сдавать для поступления на ... направление?;6
Какие экзамены нужно сдать для поступления?;7
Что за экзамены нужно сдавать для поступления?;8
Какие экзамены необходимы для поступления?;9
Что за экзамены следует сдать для поступления?;10
Какие минимальные проходные баллы были на ... направлении?;11
Какое количество баллов необходимо было получить в прошлом году, чтобы поступить?;12
Какие были минимальные проходные баллы за прошлый год?;13
Сколько баллов нужно было набрать, чтобы поступить?;14
Какой минимальный проходной балл был в прошлом году?;15
Какой минимальный порог по баллам, чтобы поступить?;16
Какие минимальные баллы на подачу заявления на поступление?;17
Сколько баллов нужно набрать, чтобы приняли мое заявления на поступление?;18
Какой минимальный порог по баллам, чтобы приняли заявление?;19
Какой минимальный балл нужно получить за экзамены, чтобы приняли заявление?;20
Какое количество баллов нужно набрать, чтобы приняли заявление на поступление?;21
Сколько бюджетных мест?;22
Какое количество бюджетных мест?;23
Как много бюджетных мест?;24
Много ли бюджетных мест?;25
Возможное количество бюджетных мест?;26
Сколькими бюджетными местами располагает ВУЗ?;27
Сколько целевых мест?;28
Какое количество целевых мест?;29
Как много целевых мест?;30
Много ли целевых мест?;31
Возможное количество целевых мест?;32
Сколькими целевыми местами располагает ВУЗ?;33
Сколько квотных мест?;34
Какое количество квотных мест?;35
Как много квотных мест?;36
Много ли квотных мест?;37
Возможное количество квотных мест?;38
Сколькими квотными местами располагает ВУЗ?;39
Сколько платных мест?;40
Какое количество платных мест?;41
Как много платных мест?;42
Много ли платных мест?;43
Возможное количество платных мест?;44
Сколькими платными местами располагает ВУЗ?;45
